arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-05-09,11:00 PM,Newton,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1393,33.9786,-118.2761,2016,May,Mon,15-20
2016-05-06,09:10 PM,Hollywood,18,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,678,34.0863,-118.3051,2016,May,Fri,15-20
2016-05-05,10:00 PM,77th Street,20,Male,Black,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1267,33.9601,-118.2827,2016,May,Thu,15-20
2016-05-06,11:20 PM,Newton,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1353,34.0039,-118.2609,2016,May,Fri,15-20
2016-05-06,01:35 AM,Devonshire,18,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1743,34.2573,-118.5317,2016,May,Fri,15-20
2016-05-09,10:15 PM,Foothill,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1654,34.2582,-118.404,2016,May,Mon,15-20
2016-05-08,12:25 AM,Topanga,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2148,34.2011,-118.5819,2016,May,Sun,15-20
2016-05-09,12:20 PM,Hollywood,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,659,34.0951,-118.3025,2016,May,Mon,15-20
2016-05-07,11:00 PM,77th Street,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1258,33.9747,-118.2739,2016,May,Sat,15-20
2016-05-13,12:45 AM,Hollywood,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,637,34.1016,-118.3267,2016,May,Fri,15-20
2016-05-12,12:25 PM,Northeast,19,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,1128,34.1201,-118.1817,2016,May,Thu,15-20
2016-05-13,09:40 PM,Mission,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1999,34.2217,-118.4288,2016,May,Fri,15-20
